Assembly Accession,Assembly-unit accession,chrom,GC Count,GC Percent,GenBank seq accession,Molecule type,Ordering,RefSeq seq accession,Role,Seq length,UCSC style name,Unlocalized Count,Sequence name
GCA_037013685.1,Primary Assembly,34,,,JAQOXP010000047.1,Chromosome,,,unlocalized-scaffold,1307040,,2,Scaffold_chr34_unplacedseq2
GCA_037013685.1,Primary Assembly,35,,,JAQOXP010000048.1,Chromosome,,,unlocalized-scaffold,196039,,2,Scaffold_chr35_unplacedseq1
GCA_037013685.1,Primary Assembly,35,,,JAQOXP010000049.1,Chromosome,,,unlocalized-scaffold,348491,,2,Scaffold_chr35_unplacedseq2
GCA_037013685.1,Primary Assembly,36,,,JAQOXP010000050.1,Chromosome,,,unlocalized-scaffold,233648,,3,Scaffold_chr36_unplacedseq1
GCA_037013685.1,Primary Assembly,36,,,JAQOXP010000051.1,Chromosome,,,unlocalized-scaffold,922987,,3,Scaffold_chr36_unplacedseq2
GCA_037013685.1,Primary Assembly,36,,,JAQOXP010000052.1,Chromosome,,,unlocalized-scaffold,134239,,3,Scaffold_chr36_unplacedseq3
GCA_037013685.1,Primary Assembly,37,,,JAQOXP010000053.1,Chromosome,,,unlocalized-scaffold,739589,,4,Scaffold_chr37_unplacedseq1
GCA_037013685.1,Primary Assembly,37,,,JAQOXP010000054.1,Chromosome,,,unlocalized-scaffold,233119,,4,Scaffold_chr37_unplacedseq2
GCA_037013685.1,Primary Assembly,37,,,JAQOXP010000055.1,Chromosome,,,unlocalized-scaffold,647523,,4,Scaffold_chr37_unplacedseq3
GCA_037013685.1,Primary Assembly,37,,,JAQOXP010000056.1,Chromosome,,,unlocalized-scaffold,315676,,4,Scaffold_chr37_unplacedseq4
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000057.1,Chromosome,,,unplaced-scaffold,113037,,,Scaffold_unplaced_1
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000058.1,Chromosome,,,unplaced-scaffold,74787,,,Scaffold_unplaced_2
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000059.1,Chromosome,,,unplaced-scaffold,65640,,,Scaffold_unplaced_3
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000060.1,Chromosome,,,unplaced-scaffold,30344,,,Scaffold_unplaced_4
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000061.1,Chromosome,,,unplaced-scaffold,29984,,,Scaffold_unplaced_5
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000062.1,Chromosome,,,unplaced-scaffold,23215,,,Scaffold_unplaced_6
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000063.1,Chromosome,,,unplaced-scaffold,22907,,,Scaffold_unplaced_7
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000064.1,Chromosome,,,unplaced-scaffold,9374,,,Scaffold_unplaced_8
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000065.1,Chromosome,,,unplaced-scaffold,8990,,,Scaffold_unplaced_9
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000066.1,Chromosome,,,unplaced-scaffold,3701,,,Scaffold_unplaced_10
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000067.1,Chromosome,,,unplaced-scaffold,1428,,,Scaffold_unplaced_11
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000068.1,Chromosome,,,unplaced-scaffold,1215,,,Scaffold_unplaced_12
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000069.1,Chromosome,,,unplaced-scaffold,188252,,,Scaffold_unplaced_13
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000070.1,Chromosome,,,unplaced-scaffold,49015,,,Contig_unplaced_1
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000071.1,Chromosome,,,unplaced-scaffold,42316,,,Contig_unplaced_2
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000072.1,Chromosome,,,unplaced-scaffold,36437,,,Contig_unplaced_3
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000073.1,Chromosome,,,unplaced-scaffold,30599,,,Contig_unplaced_4
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000074.1,Chromosome,,,unplaced-scaffold,30235,,,Contig_unplaced_5
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000075.1,Chromosome,,,unplaced-scaffold,27346,,,Contig_unplaced_6
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000076.1,Chromosome,,,unplaced-scaffold,25206,,,Contig_unplaced_7
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000077.1,Chromosome,,,unplaced-scaffold,22448,,,Contig_unplaced_8
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000078.1,Chromosome,,,unplaced-scaffold,21802,,,Contig_unplaced_9
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000079.1,Chromosome,,,unplaced-scaffold,19099,,,Contig_unplaced_10
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000080.1,Chromosome,,,unplaced-scaffold,19078,,,Contig_unplaced_11
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000081.1,Chromosome,,,unplaced-scaffold,19028,,,Contig_unplaced_12
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000082.1,Chromosome,,,unplaced-scaffold,15524,,,Contig_unplaced_13
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000083.1,Chromosome,,,unplaced-scaffold,15058,,,Contig_unplaced_14
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000084.1,Chromosome,,,unplaced-scaffold,14594,,,Contig_unplaced_15
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000085.1,Chromosome,,,unplaced-scaffold,14590,,,Contig_unplaced_16
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000086.1,Chromosome,,,unplaced-scaffold,13856,,,Contig_unplaced_17
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000087.1,Chromosome,,,unplaced-scaffold,13849,,,Contig_unplaced_18
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000088.1,Chromosome,,,unplaced-scaffold,12123,,,Contig_unplaced_19
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000089.1,Chromosome,,,unplaced-scaffold,11706,,,Contig_unplaced_20
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000090.1,Chromosome,,,unplaced-scaffold,11606,,,Contig_unplaced_21
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000091.1,Chromosome,,,unplaced-scaffold,10248,,,Contig_unplaced_22
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000092.1,Chromosome,,,unplaced-scaffold,9962,,,Contig_unplaced_23
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000093.1,Chromosome,,,unplaced-scaffold,9473,,,Contig_unplaced_24
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000094.1,Chromosome,,,unplaced-scaffold,9381,,,Contig_unplaced_25
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000095.1,Chromosome,,,unplaced-scaffold,9311,,,Contig_unplaced_26
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000096.1,Chromosome,,,unplaced-scaffold,9080,,,Contig_unplaced_27
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000097.1,Chromosome,,,unplaced-scaffold,8399,,,Contig_unplaced_28
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000098.1,Chromosome,,,unplaced-scaffold,7565,,,Contig_unplaced_29
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000099.1,Chromosome,,,unplaced-scaffold,6953,,,Contig_unplaced_30
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000100.1,Chromosome,,,unplaced-scaffold,6760,,,Contig_unplaced_31
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000101.1,Chromosome,,,unplaced-scaffold,6706,,,Contig_unplaced_32
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000102.1,Chromosome,,,unplaced-scaffold,6538,,,Contig_unplaced_33
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000103.1,Chromosome,,,unplaced-scaffold,6526,,,Contig_unplaced_34
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000104.1,Chromosome,,,unplaced-scaffold,6381,,,Contig_unplaced_35
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000105.1,Chromosome,,,unplaced-scaffold,5818,,,Contig_unplaced_36
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000106.1,Chromosome,,,unplaced-scaffold,5782,,,Contig_unplaced_37
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000107.1,Chromosome,,,unplaced-scaffold,5670,,,Contig_unplaced_38
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000108.1,Chromosome,,,unplaced-scaffold,5517,,,Contig_unplaced_39
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000109.1,Chromosome,,,unplaced-scaffold,5290,,,Contig_unplaced_40
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000110.1,Chromosome,,,unplaced-scaffold,5183,,,Contig_unplaced_41
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000111.1,Chromosome,,,unplaced-scaffold,5159,,,Contig_unplaced_42
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000112.1,Chromosome,,,unplaced-scaffold,4721,,,Contig_unplaced_43
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000113.1,Chromosome,,,unplaced-scaffold,4678,,,Contig_unplaced_44
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000114.1,Chromosome,,,unplaced-scaffold,4526,,,Contig_unplaced_45
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000115.1,Chromosome,,,unplaced-scaffold,4463,,,Contig_unplaced_46
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000116.1,Chromosome,,,unplaced-scaffold,4459,,,Contig_unplaced_47
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000117.1,Chromosome,,,unplaced-scaffold,4364,,,Contig_unplaced_48
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000118.1,Chromosome,,,unplaced-scaffold,4222,,,Contig_unplaced_49
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000119.1,Chromosome,,,unplaced-scaffold,4221,,,Contig_unplaced_50
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000120.1,Chromosome,,,unplaced-scaffold,4149,,,Contig_unplaced_51
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000121.1,Chromosome,,,unplaced-scaffold,4018,,,Contig_unplaced_52
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000122.1,Chromosome,,,unplaced-scaffold,3746,,,Contig_unplaced_53
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000123.1,Chromosome,,,unplaced-scaffold,3633,,,Contig_unplaced_54
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000124.1,Chromosome,,,unplaced-scaffold,3556,,,Contig_unplaced_55
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000125.1,Chromosome,,,unplaced-scaffold,3546,,,Contig_unplaced_56
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000126.1,Chromosome,,,unplaced-scaffold,3524,,,Contig_unplaced_57
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000127.1,Chromosome,,,unplaced-scaffold,3453,,,Contig_unplaced_58
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000128.1,Chromosome,,,unplaced-scaffold,3419,,,Contig_unplaced_59
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000129.1,Chromosome,,,unplaced-scaffold,3385,,,Contig_unplaced_60
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000130.1,Chromosome,,,unplaced-scaffold,3377,,,Contig_unplaced_61
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000131.1,Chromosome,,,unplaced-scaffold,3361,,,Contig_unplaced_62
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000132.1,Chromosome,,,unplaced-scaffold,3297,,,Contig_unplaced_63
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000133.1,Chromosome,,,unplaced-scaffold,3236,,,Contig_unplaced_64
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000134.1,Chromosome,,,unplaced-scaffold,3126,,,Contig_unplaced_65
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000135.1,Chromosome,,,unplaced-scaffold,3025,,,Contig_unplaced_66
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000136.1,Chromosome,,,unplaced-scaffold,3006,,,Contig_unplaced_67
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000137.1,Chromosome,,,unplaced-scaffold,2980,,,Contig_unplaced_68
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000138.1,Chromosome,,,unplaced-scaffold,2970,,,Contig_unplaced_69
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000139.1,Chromosome,,,unplaced-scaffold,2941,,,Contig_unplaced_70
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000140.1,Chromosome,,,unplaced-scaffold,2938,,,Contig_unplaced_71
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000141.1,Chromosome,,,unplaced-scaffold,2777,,,Contig_unplaced_72
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000142.1,Chromosome,,,unplaced-scaffold,2676,,,Contig_unplaced_73
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000143.1,Chromosome,,,unplaced-scaffold,2614,,,Contig_unplaced_74
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000144.1,Chromosome,,,unplaced-scaffold,2612,,,Contig_unplaced_75
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000145.1,Chromosome,,,unplaced-scaffold,2602,,,Contig_unplaced_76
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000146.1,Chromosome,,,unplaced-scaffold,2601,,,Contig_unplaced_77
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000147.1,Chromosome,,,unplaced-scaffold,2601,,,Contig_unplaced_78
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000148.1,Chromosome,,,unplaced-scaffold,2528,,,Contig_unplaced_79
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000149.1,Chromosome,,,unplaced-scaffold,2438,,,Contig_unplaced_80
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000150.1,Chromosome,,,unplaced-scaffold,2351,,,Contig_unplaced_81
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000151.1,Chromosome,,,unplaced-scaffold,2307,,,Contig_unplaced_82
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000152.1,Chromosome,,,unplaced-scaffold,2305,,,Contig_unplaced_83
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000153.1,Chromosome,,,unplaced-scaffold,2284,,,Contig_unplaced_84
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000154.1,Chromosome,,,unplaced-scaffold,2193,,,Contig_unplaced_85
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000155.1,Chromosome,,,unplaced-scaffold,2171,,,Contig_unplaced_86
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000156.1,Chromosome,,,unplaced-scaffold,2150,,,Contig_unplaced_87
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000157.1,Chromosome,,,unplaced-scaffold,2136,,,Contig_unplaced_88
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000158.1,Chromosome,,,unplaced-scaffold,2135,,,Contig_unplaced_89
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000159.1,Chromosome,,,unplaced-scaffold,2118,,,Contig_unplaced_90
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000160.1,Chromosome,,,unplaced-scaffold,2115,,,Contig_unplaced_91
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000161.1,Chromosome,,,unplaced-scaffold,2110,,,Contig_unplaced_92
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000162.1,Chromosome,,,unplaced-scaffold,2089,,,Contig_unplaced_93
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000163.1,Chromosome,,,unplaced-scaffold,2081,,,Contig_unplaced_94
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000164.1,Chromosome,,,unplaced-scaffold,2066,,,Contig_unplaced_95
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000165.1,Chromosome,,,unplaced-scaffold,2013,,,Contig_unplaced_96
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000166.1,Chromosome,,,unplaced-scaffold,2008,,,Contig_unplaced_97
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000167.1,Chromosome,,,unplaced-scaffold,1923,,,Contig_unplaced_98
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000168.1,Chromosome,,,unplaced-scaffold,1885,,,Contig_unplaced_99
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000169.1,Chromosome,,,unplaced-scaffold,1877,,,Contig_unplaced_100
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000170.1,Chromosome,,,unplaced-scaffold,1872,,,Contig_unplaced_101
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000171.1,Chromosome,,,unplaced-scaffold,1835,,,Contig_unplaced_102
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000172.1,Chromosome,,,unplaced-scaffold,1799,,,Contig_unplaced_103
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000173.1,Chromosome,,,unplaced-scaffold,1782,,,Contig_unplaced_104
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000174.1,Chromosome,,,unplaced-scaffold,1765,,,Contig_unplaced_105
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000175.1,Chromosome,,,unplaced-scaffold,1765,,,Contig_unplaced_106
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000176.1,Chromosome,,,unplaced-scaffold,1765,,,Contig_unplaced_107
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000177.1,Chromosome,,,unplaced-scaffold,1763,,,Contig_unplaced_108
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000178.1,Chromosome,,,unplaced-scaffold,1698,,,Contig_unplaced_109
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000179.1,Chromosome,,,unplaced-scaffold,1694,,,Contig_unplaced_110
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000180.1,Chromosome,,,unplaced-scaffold,1692,,,Contig_unplaced_111
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000181.1,Chromosome,,,unplaced-scaffold,1629,,,Contig_unplaced_112
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000182.1,Chromosome,,,unplaced-scaffold,1620,,,Contig_unplaced_113
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000183.1,Chromosome,,,unplaced-scaffold,1607,,,Contig_unplaced_114
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000184.1,Chromosome,,,unplaced-scaffold,1592,,,Contig_unplaced_115
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000185.1,Chromosome,,,unplaced-scaffold,1586,,,Contig_unplaced_116
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000186.1,Chromosome,,,unplaced-scaffold,1566,,,Contig_unplaced_117
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000187.1,Chromosome,,,unplaced-scaffold,1563,,,Contig_unplaced_118
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000188.1,Chromosome,,,unplaced-scaffold,1556,,,Contig_unplaced_119
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000189.1,Chromosome,,,unplaced-scaffold,1548,,,Contig_unplaced_120
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000190.1,Chromosome,,,unplaced-scaffold,1542,,,Contig_unplaced_121
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000191.1,Chromosome,,,unplaced-scaffold,1521,,,Contig_unplaced_122
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000192.1,Chromosome,,,unplaced-scaffold,1506,,,Contig_unplaced_123
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000193.1,Chromosome,,,unplaced-scaffold,1486,,,Contig_unplaced_124
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000194.1,Chromosome,,,unplaced-scaffold,1485,,,Contig_unplaced_125
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000195.1,Chromosome,,,unplaced-scaffold,1480,,,Contig_unplaced_126
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000196.1,Chromosome,,,unplaced-scaffold,1478,,,Contig_unplaced_127
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000197.1,Chromosome,,,unplaced-scaffold,1473,,,Contig_unplaced_128
GCA_037013685.1,Primary Assembly,Un,,,JAQOXP010000198.1,Chromosome,,,unplaced-scaffold,1473,,,Contig_unplaced_129
